,Name,Score,Studios,Source,Ranked,Popularity,Completed
12580,the FLY BanD!,5.14,Polygon Pictures,Original,10414,14239,182
12581,In Search of Axis,4.83,Polygon Pictures,Original,10721,13328,255
12582,Samuroid Zero,4.98,Polygon Pictures,Original,10625,13074,253
12584,Youjo Shenki Episode 0,6.05,Studio PuYUKAI,Light novel,8025,4396,10212
12586,Kaito x Ansa,5.03,Tengu Kobo,Original,10561,7410,311
12588,One Room Special,5.41,Typhoon Graphics,Original,9896,4214,9866
12589,"Minami Kamakura Koukou Joshi Jitenshabu: Kita yo, Taiwan!",6.5,"J.C.Staff, A.C.G.T.",Manga,5899,7729,2044
12590,Sengoku Choujuu Giga: Otsu,5.91,ILCA,Original,8509,8210,1590
12593,Youjo Shenki,6.75,Studio PuYUKAI,Light novel,4703,3733,12608
12596,Mahoujin Guruguru (2017),7.86,Production I.G,Manga,726,3106,8691
12599,Blood Lad: Kanketsu Kinen,6.53,Brain's Base,Manga,5732,4010,7847
12600,ChäoS;Child Episode 0,6.27,SILVER LINK.,Visual novel,7026,3698,13952
12601,Rilu Rilu Fairilu: Yousei no Door,6.6,Studio Deen,Original,5388,8973,243
12604,Town Workers,6.08,Rockwell Eyes,Original,7901,12258,153
12611,Elsword: Ain-ui Gieog Animation,6.12,DR Movie,Game,7693,8107,1208
12612,Dynamic Chord,4.71,"Studio Pierrot, Pierrot Plus",Visual novel,10802,5346,1383
12613,Eureka Seven AO: One More Time - Lord Don't Slow Me Down,6.7,Bones,Manga,4890,5834,2548
12614,"91 Days: Toki no Asase/Subete no Kinou/Ashita, Mata Ashita",6.88,Shuka,Original,4096,2657,28024
12617,Kuroko no Basket: Oshaberi Shiyou ka,7.12,Production I.G,Manga,3122,4732,5897
12619,Idol Time PriPara,7.13,"Tatsunoko Production, Dongwoo A&E",Game,3093,6801,1241
12621,Yoake Tsugeru Lu no Uta,7.43,Science SARU,Original,1815,2727,15364
12624,Yuru Camp△,8.27,C-Station,Manga,253,457,151226
12625,PriPri Chii-chan!!,6.24,OLM,Manga,7136,8088,584
12626,Action Heroine Cheer Fruits,6.55,Diomedéa,Original,5623,4607,3952
12628,ViVid Strike! Specials,6.69,Seven Arcs Pictures,Original,4979,5757,3567
